Name,Genre
Crash Bandicoot: The Wrath of Cortex,Platform
Call of Duty: World at War,Shooter
Uncharted 4: A Thief's End,Shooter
Dr. Mario,Puzzle
Final Fantasy XIII,Role-Playing
Pokemon Pinball,Misc
Final Fantasy IX,Role-Playing
Assassin's Creed III,Action
Final Fantasy X-2,Role-Playing
Donkey Kong 64,Platform
Call of Duty: Advanced Warfare,Shooter
Minecraft,Misc
Assassin's Creed II,Action
Tomb Raider II,Action
Madden NFL 2004,Sports
Tomodachi Life,Simulation
New Super Mario Bros. U,Platform
Dragon Quest VIII: Journey of the Cursed King,Role-Playing
Super Mario Bros. 3,Platform
Professor Layton and the Curious Village,Puzzle
Super Mario Land 3: Wario Land,Platform
FIFA Soccer 13,Action
Donkey Kong Country 2: Diddy's Kong Quest,Platform
Diablo III,Role-Playing
Medal of Honor: Rising Sun,Shooter
Kirby's Dream Land,Platform
Microsoft Flight Simulator,Simulation
Guitar Hero II,Misc
Fable III,Role-Playing
Mario & Sonic at the Olympic Games,Sports
Resident Evil 5,Action
The Legend of Zelda: Phantom Hourglass,Action
Super Mario Bros.,Platform
FIFA Soccer 11,Sports
Resident Evil,Action
Grand Theft Auto: Vice City Stories,Action
Tony Hawk's Pro Skater,Sports
Warzone 2100,Strategy
Spyro the Dragon,Platform
Guitar Hero III: Legends of Rock,Misc
Link's Crossbow Training,Shooter
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,Role-Playing
Fallout 3,Role-Playing
Uncharted: Drake's Fortune,Action
Madden NFL 06,Sports
Diddy Kong Racing,Racing
Monster Hunter Freedom 3,Role-Playing
Super Smash Bros. for Wii U and 3DS,Fighting
Dr. Mario,Puzzle
StarCraft II: Wings of Liberty,Strategy
Assassin's Creed,Adventure
God of War III,Action
Crash Team Racing,Racing
LEGO Star Wars: The Complete Saga,Action
Driver 2,Action
Batman: Arkham City,Action
The Last of Us,Action
The Simpsons: Hit & Run,Racing
Tony Hawk's Pro Skater 2,Sports
The Lord of the Rings: The Two Towers,Action
Tomb Raider,Action
Animal Crossing: City Folk,Simulation
Uncharted: The Nathan Drake Collection,Action
The Legend of Zelda: A Link to the Past,Action
The Legend of Zelda: The Wind Waker,Action
Guitar Hero III: Legends of Rock,Misc
Luigi's Mansion: Dark Moon,Action
Forza Motorsport 4,Racing
Mario & Sonic at the Olympic Winter Games,Sports
Madden NFL 2005,Sports
Guitar Hero III: Legends of Rock,Misc
Pitfall!,Platform
Madden NFL 07,Sports
Halo 5: Guardians,Shooter
Spider-Man: The Movie,Action
Dragon Quest VII: Warriors of Eden,Role-Playing
Call of Duty: Infinite Warfare,Shooter
God of War,Action
Splatoon,Shooter
Nintendo Land,Misc
Tony Hawk's Pro Skater 3,Sports
Winning Eleven: Pro Evolution Soccer 2007,Sports
The Elder Scrolls IV: Oblivion,Role-Playing
Zelda II: The Adventure of Link,Adventure
Need for Speed: Most Wanted,Racing
Michael Jackson: The Experience,Misc
Call of Duty: Advanced Warfare,Shooter
Resistance: Fall of Man,Shooter
Sonic the Hedgehog,Platform
Kingdom Hearts II,Role-Playing
The Legend of Zelda: Ocarina of Time,Action
Super Mario 3D World,Platform
Minecraft,Misc
Asteroids,Shooter
Call of Duty: Advanced Warfare,Shooter
FIFA 15,Sports
Fable II,Role-Playing
Namco Museum,Misc
Batman: Arkham Asylum,Action
Metal Gear Solid 3: Snake Eater,Action
Assassin's Creed: Revelations,Action
Fallout 4,Role-Playing
FIFA 14,Sports
Daxter,Platform
Warcraft II: Tides of Darkness,Strategy
FIFA Soccer 06,Sports
EyeToy Play,Misc
Gran Turismo 5 Prologue,Racing
Assassin's Creed: Revelations,Action
FIFA 12,Sports
Teenage Mutant Ninja Turtles,Action
Street Fighter IV,Fighting
Excitebike,Racing
Frogger,Action
Madden NFL 2003,Sports
Half-Life,Shooter
Super Mario World 2: Yoshi's Island,Platform
FIFA Soccer 07,Sports
Street Fighter II Turbo,Fighting
World of Warcraft: The Burning Crusade,Role-Playing
Battlefield 1,Shooter
God of War II,Action
World Soccer Winning Eleven 9,Sports
Fallout: New Vegas,Role-Playing
Forza Motorsport 2,Racing
Carnival Games,Misc
Watch Dogs,Action
Namco Museum Vol.3,Misc
Tekken Tag Tournament,Fighting
Far Cry 4,Shooter
Star Fox 64,Shooter
Golf,Sports
Namco Museum: 50th Anniversary,Misc
Left 4 Dead 2,Shooter
The Witcher 3: Wild Hunt,Role-Playing
Assassin's Creed: Unity,Action
Batman: Arkham Knight,Action
The Legend of Zelda: Skyward Sword,Action
Fallout 3,Role-Playing
Professor Layton and the Diabolical Box,Puzzle
Donkey Kong Land,Platform
EA Sports Active,Sports
Tony Hawk's Underground,Sports
Monster Hunter 4 Ultimate,Role-Playing
The Elder Scrolls V: Skyrim,Role-Playing
NBA 2K16,Sports
Tekken 5,Fighting
Dragon Warrior III,Role-Playing
MotorStorm,Racing
Nintendogs + cats,Simulation
World Soccer Winning Eleven 8 International,Sports
Sports Champions,Sports
Namco Museum Vol.1,Misc
The Legend of Zelda: Link's Awakening,Action
Call of Duty: Ghosts,Shooter
Flash Focus: Vision Training in Minutes a Day,Misc
Tom Clancy's The Division,Shooter
Big Brain Academy: Wii Degree,Misc
Resident Evil Director's Cut,Action
Mario & Luigi: Bowser's Inside Story,Role-Playing
LEGO Indiana Jones: The Original Adventures,Action
The Sims: Unleashed,Simulation
Ratchet & Clank: Size Matters,Platform
Harry Potter and the Sorcerer's Stone,Action
Mario & Sonic at the London 2012 Olympic Games,Sports
Resident Evil 3: Nemesis,Action
Super Paper Mario,Platform
Spyro: Year of the Dragon,Platform
Assassin's Creed IV: Black Flag,Action
FIFA Soccer 2005,Sports
Pokémon Trading Card Game,Strategy
Friend Collection,Misc
Tony Hawk's Pro Skater 4,Sports
Star Wars Battlefront (2015),Shooter
MySims,Simulation
Midnight Club 3: DUB Edition,Racing
Banjo-Kazooie,Platform
SOCOM: U.S. Navy SEALs,Shooter
Jak and Daxter: The Precursor Legacy,Platform
Pokemon Snap,Simulation
Pro Evolution Soccer 2008,Sports
Resident Evil 4,Action
Guitar Hero: World Tour,Misc
FIFA Soccer 10,Sports
Star Wars: Battlefront,Shooter
Doom II: Hell on Earth,Shooter
The Simpsons: Road Rage,Racing
Luigi's Mansion,Action
Battlefield 4,Shooter
Star Wars: Battlefront II,Shooter
Just Dance 2014,Misc
Cooking Mama 2: Dinner With Friends,Simulation
WWF SmackDown!,Fighting
Croc: Legend of the Gobbos,Platform
Grand Theft Auto: Liberty City Stories,Action
The Getaway,Action
Tomb Raider III: Adventures of Lara Croft,Action
James Bond 007: Agent Under Fire,Shooter
LEGO Star Wars: The Video Game,Action
Rugrats in Paris: The Movie,Action
FIFA Soccer 11,Sports
Spyro 2: Ripto's Rage!,Platform
Left 4 Dead,Shooter
Donkey Kong Country 3: Dixie Kong's Double Trouble!,Platform
Assassin's Creed: Unity,Action
Kung Fu,Action
Resident Evil 5,Action
Assassin's Creed: Brotherhood,Action
FIFA Soccer 2004,Sports
Battlefield 4,Shooter
Batman: Arkham Asylum,Action
Battlefield 4,Shooter
Battlefield: Bad Company 2,Shooter
Mario & Sonic at the Olympic Winter Games,Sports
Guitar Hero: On Tour,Misc
Clubhouse Games,Misc
Monster Hunter 4,Role-Playing
Borderlands,Shooter
Tekken 4,Fighting
Final Fantasy III,Role-Playing
Grand Theft Auto 2,Action
Metal Gear Solid V: The Phantom Pain,Action
Spider-Man 2,Action
F-1 Race,Racing
FIFA Soccer 2003,Sports
LittleBigPlanet 2,Platform
Crash Bash,Misc
Assassin's Creed Syndicate,Action
LEGO Batman: The Videogame,Action
Destiny,Shooter
WWF War Zone,Fighting
The Legend of Zelda: Majora's Mask,Action
Far Cry 3,Shooter
Rugrats: Search For Reptar,Adventure
English Training: Have Fun Improving Your Skills!,Misc
James Bond 007: Nightfire,Shooter
Ratchet & Clank,Platform
Monster Hunter X,Action
Star Wars Episode III: Revenge of the Sith,Action
The Legend of Zelda: Spirit Tracks,Action
Max Payne,Shooter
Assassin's Creed IV: Black Flag,Action
The Lord of the Rings: The Return of the King,Action
Yokai Watch 2 Ganso/Honke,Role-Playing
Gears of War: Ultimate Edition,Shooter
True Crime: Streets of LA,Action
Professor Layton and the Unwound Future,Puzzle
Gran Turismo (PSP),Racing
FIFA 16,Sports
Wii Music,Misc
Tekken,Fighting
Madden NFL 16,Sports
Gran Turismo 6,Racing
Halo: The Master Chief Collection,Shooter
007: Tomorrow Never Dies,Shooter
Super Mario Maker,Platform
WWF SmackDown! 2: Know Your Role,Fighting
Baseball,Sports
Killer Instinct,Fighting
Dragon Quest VI: Maboroshi no Daichi,Role-Playing
God of War: Chains of Olympus,Action
Enter the Matrix,Action
Crisis Core: Final Fantasy VII,Role-Playing
Dance Central,Misc
L.A. Noire,Adventure
Ace Combat 04: Shattered Skies,Simulation
Animal Crossing,Simulation
FIFA Soccer 08,Sports
Club Penguin: Elite Penguin Force,Adventure
Spider-Man,Action
Mario Party 9,Misc
Need for Speed III: Hot Pursuit,Racing
Star Wars Episode I Racer,Racing
Sonic Rush,Platform
Dragon Warrior IV,Role-Playing
Rhythm Heaven,Misc
Fallout: New Vegas,Role-Playing
Personal Trainer: Cooking,Misc
The Elder Scrolls IV: Oblivion,Role-Playing
The Legend of Zelda: A Link Between Worlds,Action
Resident Evil 6,Shooter
Mass Effect 2,Role-Playing
Dragon Ball Z: Budokai,Fighting
Madden NFL 2002,Sports
World Class Track Meet,Sports
Donkey Kong,Platform
The Sims: Vacation,Simulation
LEGO Batman: The Videogame,Action
Animal Crossing: Happy Home Designer,Simulation
The Sims 4,Simulation
Borderlands 2,Shooter
LEGO Batman: The Videogame,Action
Kung Fu Panda,Action
Mass Effect 3,Role-Playing
Heavy Rain,Adventure
Rayman,Platform
Saints Row 2,Action
Tom Clancy's Splinter Cell,Action
Mike Tyson's Punch-Out!!,Fighting
WWE SmackDown! Shut Your Mouth,Sports
FIFA 14,Sports
Killzone 2,Shooter
Far Cry 3,Shooter
Epic Mickey,Platform
NBA 2K13,Sports
Dragon Ball Z: Budokai Tenkaichi 3,Fighting
wwe Smackdown vs. Raw 2006,Fighting
Star Fox,Shooter
The Sims: Livin Large,Misc
World Soccer Winning Eleven 6 International,Sports
Devil May Cry,Action
Star Wars: The Old Republic,Role-Playing
Middle-Earth: Shadow of Mordor,Action
Sonic Heroes,Platform
Hitman 2: Silent Assassin,Action
Titanfall,Shooter
Battlefield: Bad Company 2,Shooter
Wave Race 64,Racing
SOCOM II: U.S. Navy SEALs,Shooter
WWE SmackDown! vs. RAW 2006,Fighting
Pac-Man Collection,Puzzle
Street Fighter IV,Fighting
inFAMOUS,Action
Kirby Super Star Ultra,Platform
Call of Duty: Ghosts,Shooter
FIFA 15,Sports
Super Mario World 2: Yoshi's Island,Platform
Mass Effect,Role-Playing
Sonic Mega Collection Plus,Misc
World Soccer Winning Eleven 7 International,Sports
Sega Superstars Tennis,Sports
Hot Shots Golf 3,Sports
Cooking Mama: Cook Off,Simulation
Call of Duty: Finest Hour,Shooter
WarioWare: Smooth Moves,Puzzle
Syphon Filter,Shooter
Imagine: Babyz,Simulation
Colin McRae Rally,Racing
Madden NFL 13,Sports
The Elder Scrolls III: Morrowind,Role-Playing
Assassin's Creed IV: Black Flag,Action
Command & Conquer: Red Alert,Strategy
F-Zero,Racing
Yoshi's Story,Platform
Mortal Kombat,Fighting
Madden NFL 10,Sports
WWE SmackDown! vs. Raw,Fighting
BioShock,Shooter
Metroid Prime,Shooter
Assassin's Creed: Brotherhood,Action
Finding Nemo,Action
Zumba Fitness 2,Sports
Myst,Adventure
Medal of Honor,Shooter
Need for Speed: Most Wanted,Racing
Imagine: Fashion Designer,Simulation
WWE SmackDown! Here Comes the Pain,Fighting
Hot Shots Golf,Sports
A Bug's Life,Platform
WWF SmackDown! Just Bring It,Fighting
inFAMOUS: Second Son,Action
Dragon Quest V: Tenkuu no Hanayome,Role-Playing
Mortal Kombat Trilogy,Fighting
Monster Hunter Tri,Role-Playing
NBA Street,Sports
Jak II,Platform
Ratchet & Clank: Going Commando,Platform
Need for Speed: Hot Pursuit,Racing
Skylanders: Spyro's Adventure,Action
Battlefield 3,Shooter
Mortal Kombat X,Fighting
The Sims,Simulation
Killzone 3,Shooter
Star Wars: The Force Unleashed,Action
Minecraft,Misc
Yoshi's Island DS,Platform
Saints Row: The Third,Action
Missile Command,Shooter
Mario Paint,Misc
Tekken 6,Fighting
Pokémon Stadium 2,Strategy
Metroid,Action
Sonic and the Secret Rings,Platform
FIFA 16,Sports
The Legend of Zelda: A Link to the Past,Action
Onimusha: Warlords,Action
Mario Party,Misc
L.A. Noire,Adventure
Call of Duty 3,Shooter
Madden NFL 12,Sports
LEGO Star Wars II: The Original Trilogy,Action
Killzone: Shadow Fall,Shooter
Madden NFL 11,Sports
Burnout 3: Takedown,Racing
Yokai Watch 2 Shinuchi,Role-Playing
Mortal Kombat,Fighting
Mario vs. Donkey Kong: Mini-Land Mayhem!,Puzzle
Professor Layton and the Last Specter,Puzzle
Call Of Duty 2: Big Red One,Shooter
Medal of Honor,Shooter
Fable,Role-Playing
Guitar Hero: World Tour,Misc
FIFA 17,Sports
Hannah Montana,Action
Tom Clancy's Splinter Cell,Action
Super Mario Bros.: The Lost Levels,Platform
Need for Speed: Shift,Racing
Star Wars: Shadows of the Empire,Action
Medal of Honor Heroes,Shooter
Final Fantasy XIII-2,Role-Playing
Midnight Club: Street Racing,Racing
Skate 3,Sports
ESPN NFL 2K5,Sports
Halo Wars,Strategy
NBA 2K12,Sports
Pac-Man: Adventures in Time,Fighting
FIFA Soccer 10,Sports
Medal of Honor,Shooter
Harry Potter and the Chamber of Secrets,Action
Streets of Rage,Action
God of War Collection,Action
NBA Live 2005,Sports
Mario Strikers Charged,Sports
FIFA Soccer 09,Sports
Style Savvy,Simulation
WWE SmackDown vs. RAW 2007,Fighting
LEGO Star Wars: The Complete Saga,Action
Ratchet & Clank: Up Your Arsenal,Platform
Madden NFL 08,Sports
Monster Hunter Freedom 2,Role-Playing
Ratchet & Clank Future: Tools of Destruction,Platform
Super Mario All-Stars: Limited Edition,Platform
Sonic Adventure 2 Battle,Platform
Dragon Warrior II,Role-Playing
Ghostbusters: The Video Game (DS Version),Action
Madden NFL 13,Sports
Dragon Age: Origins,Role-Playing
Pokémon Colosseum,Role-Playing
LittleBigPlanet,Platform
Madden NFL 09,Sports
Space Invaders,Shooter
Crazy Taxi,Racing
Art Academy,Misc
NBA 2K14,Sports
Perfect Dark,Action
Skylanders Giants,Action
Dragon Warrior,Role-Playing
Deca Sports,Sports
PES 2009: Pro Evolution Soccer,Sports
Mario Party 2,Misc
Marvel: Ultimate Alliance,Role-Playing
Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,Action
Mortal Kombat: Deadly Alliance,Fighting
Game Party,Misc
Bloodborne,Action
Tomb Raider: The Last Revelation,Action
Mario Party 4,Misc
Pure,Racing
Rock Band,Misc
NBA 2K13,Sports
Saints Row: The Third,Action
Resistance 2,Shooter
NBA 2K15,Sports
Final Fantasy V,Role-Playing
Final Fantasy Tactics,Role-Playing
Midnight Club: Los Angeles,Racing
Twisted Metal 2,Racing
The Sims: Bustin' Out,Simulation
Riven: The Sequel to Myst,Adventure
LEGO Harry Potter: Years 1-4,Action
Need for Speed (2015),Racing
Call of Duty: Infinite Warfare,Shooter
Madden NFL 16,Sports
Ice Hockey,Sports
Sonic Adventure,Platform
Tom Clancy's Rainbow Six: Vegas 2,Shooter
uDraw Studio,Misc
Tomb Raider (2013),Action
Need for Speed Carbon: Own the City,Racing
Dragon Ball Z: Budokai 2,Fighting
pro evolution soccer 2011,Sports
ATV Offroad Fury,Racing
Dino Crisis,Action
Need for Speed: ProStreet,Racing
Halo: Combat Evolved Anniversary,Shooter
Tetris Plus,Puzzle
Pro Wrestling,Fighting
Theme Hospital,Strategy
Frogger's Adventures: Temple of the Frog,Adventure
Monopoly,Misc
,
Guitar Hero,Misc
Madden NFL 11,Sports
WCW/nWo Revenge,Fighting
Yu-Gi-Oh! The Duelists of the Roses,Misc
Dead Island,Action
Half-Life 2,Shooter
The Incredibles,Action
Madden NFL 08,Sports
Tony Hawk's Underground 2,Sports
Zumba Fitness,Sports
Madden NFL 10,Sports
Kirby's Dream Land 2,Platform
Midnight Club: Los Angeles,Racing
Donkey Kong Land II,Platform
Dragon Warrior Monsters,Role-Playing
Kinect: Disneyland Adventures,Misc
WWE SmackDown vs Raw 2008,Fighting
The Legend of Zelda: Majora's Mask 3D,Action
LEGO Indiana Jones: The Original Adventures,Action
Resident Evil - Code: Veronica X,Action
NBA 2K16,Sports
Kinect Sports: Season Two,Sports
My Fitness Coach,Sports
Mario Tennis,Sports
Grand Theft Auto,Action
James Bond 007: Everything or Nothing,Shooter
Need For Speed: High Stakes,Racing
Chrono Trigger,Role-Playing
Guild Wars 2,Action
Cool Boarders 3,Sports
Paper Mario: Sticker Star,Role-Playing
WarioWare Touched!,Puzzle
Batman: Arkham Origins,Action
Tomb Raider II,Action
Yokai Watch Busters,Action
LEGO Star Wars: The Complete Saga,Action
Need for Speed Underground 2,Racing
Pro Evolution Soccer 2010,Sports
Mario Bros.,Platform
FIFA Soccer 09,Sports
LEGO Harry Potter: Years 1-4,Action
The Sims 3,Simulation
Pokemon Ranger: Shadows of Almia,Role-Playing
TOCA Touring Car Championship,Racing
Dead Island,Action
Kirby: Nightmare in Dream Land,Platform
Wario Land 4,Platform
Sonic's Ultimate Genesis Collection,Misc
Far Cry: Primal,Action
Battlefield 1,Shooter
Onimusha 2: Samurai's Destiny,Adventure
Cool Boarders 2,Sports
Paper Mario: The Thousand-Year Door,Role-Playing
Madden NFL 12,Sports
God of War: Ascension,Action
Guitar Hero III: Legends of Rock,Misc
Sonic Advance,Platform
Super Monkey Ball: Banana Blitz,Misc
Just Dance Kids,Misc
Call of Duty 3,Shooter
New Super Luigi U,Platform
Assassin's Creed IV: Black Flag,Action
Spyro: Season of Ice,Platform
Dissidia: Final Fantasy,Fighting
Madden NFL 25,Sports
Teenage Mutant Ninja Turtles II: The Arcade Game,Action
Dance Dance Revolution X2,Simulation
Borderlands 2,Shooter
Prince of Persia: The Sands of Time,Action
Monster Hunter Tri,Role-Playing
LEGO Marvel Super Heroes,Action
The Legend of Zelda: Link's Awakening DX,Adventure
Resident Evil 4,Action
Tom Clancy's Rainbow Six: Siege,Shooter
Star Wars: The Force Unleashed,Action
Devil May Cry 3: Dante's Awakening Special Edition,Action
Frogger,Action
Guitar Hero II,Misc
Forza Motorsport 5,Racing
Rock Band 2,Misc
Pro Yakyuu Family Stadium,Sports
Wario Land 3,Platform
Need for Speed: Hot Pursuit,Racing
LEGO Indiana Jones: The Original Adventures,Action
BioShock 2,Shooter
High School Musical: Makin' the Cut!,Puzzle
Star Wars: Knights of the Old Republic,Role-Playing
Kirby's Pinball Land,Misc
Donkey Kong Country,Platform
Madden NFL 15,Sports
Pro Evolution Soccer 2012,Action
Saints Row,Action
Yu-Gi-Oh: Duel Monsters 4,Role-Playing
ATV Offroad Fury 2,Racing
FIFA 15,Sports
Mario & Luigi: Superstar Saga,Role-Playing
Star Wars: Rogue Squadron,Simulation
Tennis,Sports
Tom Clancy's The Division,Shooter
Final Fantasy XIII,Role-Playing
The Sims: House Party,Simulation
Scribblenauts,Puzzle
Sonic Unleashed,Platform
Syphon Filter 2,Shooter
Pokemon Ranger,Role-Playing
Volleyball,Sports
Skylanders SWAP Force,Platform
Overwatch,Shooter
Hitman: Absolution,Action
SimCity 2000,Simulation
R.C. Pro-Am,Racing
Super Mario RPG: Legend of the Seven Stars,Role-Playing
Mahjong,Misc
Demon Attack,Shooter
Call of Duty: Roads to Victory,Shooter
Dance Dance Revolution Extreme,Simulation
Final Fantasy Tactics Advance,Role-Playing
Your Shape featuring Jenny McCarthy,Sports
Project Gotham Racing,Racing
Golf,Sports
NBA 2K12,Sports
Tony Hawk's Pro Skater,Sports
Need for Speed: Hot Pursuit 2,Racing
PES 2009: Pro Evolution Soccer,Sports
Dynasty Warriors 4,Action
NBA 2K14,Sports
Parasite Eve,Role-Playing
Tetris DS,Puzzle
Project Gotham Racing (JP weekly sales),Action
Scooby-Doo! Night of 100 Frights,Platform
Battlefield: Hardline,Shooter
Mortal Kombat,Fighting
Borderlands,Shooter
Devil May Cry 3: Dante's Awakening,Action
Derby Stallion,Sports
NBA 2K11,Action
Finding Nemo,Action
Dying Light,Action
Yokai Watch,Role-Playing
Dead Rising,Action
World of Warcraft: Cataclysm,Role-Playing
Tetris Worlds,Puzzle
Final Fantasy III,Role-Playing
Sim Theme Park,Strategy
Mario Party 5,Misc
Rock Band,Misc
Warcraft: Orcs & Humans,Strategy
Mario & Luigi: Dream Team,Role-Playing
Portal 2,Shooter
Mario Sports Mix,Sports
Need for Speed: Most Wanted 5-1-0,Racing
Spec Ops: Airborne Commando,Shooter
The Sims 2: Pets,Simulation
Dance Dance Revolution: Hottest Party,Simulation
DriveClub,Racing
Yu-Gi-Oh! The Eternal Duelist Soul,Strategy
UFC 2009 Undisputed,Fighting
Metal Gear Solid: Peace Walker,Action
Kirby's Epic Yarn,Platform
Wipeout: The Game,Misc
Pokemon Mystery Dungeon: Red/Blue Rescue Team,Role-Playing
The Incredibles,Action
R4: Ridge Racer Type 4,Racing
Kingdom Hearts: Birth by Sleep,Role-Playing
Tom Clancy's Splinter Cell: Conviction,Action
SoulCalibur II,Fighting
Need for Speed: ProStreet,Racing
Sonic Mega Collection,Misc
Ghostbusters: The Video Game (DS Version),Action
Madden NFL 15,Sports
Need For Speed: Undercover,Racing
Toy Story 3: The Video Game,Action
NBA Jam,Sports
SOCOM: U.S. Navy SEALs: Combined Assault,Shooter
Peter Jackson's King Kong: The Official Game of the Movie,Action
Need for Speed: ProStreet,Racing
Donkey Kong Country,Platform
Dance Central 2,Misc
PGR4 - Project Gotham Racing 4,Racing
1080°: TenEighty Snowboarding,Sports
Carnival Games,Misc
NBA Live 2004,Sports
Call of Duty 2,Shooter
Rayman Raving Rabbids: TV Party,Misc
Pokémon Mystery Dungeon: Blue Rescue Team,Role-Playing
Dark Souls,Role-Playing
Just Dance 3,Misc
Battlefield 4,Shooter
